state_id,region_id,year,device_model_id,quantity
9,0900954870,2024,56,5
9,0900957600,2024,56,3
9,0900958300,2024,56,1
9,0900962290,2024,56,2
9,0900967610,2024,56,3
9,0900969640,2024,56,3
9,0900978740,2024,56,10
9,0900980070,2024,56,21
9,0900982870,2024,56,10
9,0900987560,2024,56,3
9,0900987700,2024,56,2
9,0901106820,2024,56,1
9,0901115910,2024,56,4
9,0901123400,2024,56,3
9,0901129910,2024,56,1
9,0901133900,2024,56,2
9,0901134250,2024,56,7
9,0901142390,2024,56,1
9,0901142600,2024,56,3
9,0901143230,2024,56,2
9,0901144210,2024,56,1
9,0901148900,2024,56,6
9,0901152350,2024,56,3
9,0901155500,2024,56,1
9,0901156270,2024,56,6
9,0901157040,2024,56,1
9,0901162150,2024,56,2
9,0901166210,2024,56,1
9,0901171670,2024,56,1
9,0901173770,2024,56,5
9,0901178600,2024,56,1
9,0901180280,2024,56,4
9,0901301080,2024,56,1
9,0901306260,2024,56,1
9,0901316400,2024,56,1
9,0901317800,2024,56,2
9,0901325360,2024,56,2
9,0901337910,2024,56,1
9,0901344910,2024,56,4
9,0901369220,2024,56,1
9,0901372090,2024,56,3
9,0901376290,2024,56,3
9,0901377830,2024,56,1
9,0901378250,2024,56,4
9,0901385950,2024,56,1
9,0901501430,2024,56,1
9,0901509190,2024,56,1
9,0901512130,2024,56,1
9,0901513810,2024,56,1
9,0901521860,2024,56,1
9,0901536000,2024,56,1
9,0901540500,2024,56,7
9,0901559980,2024,56,5
9,0901561030,2024,56,1
9,0901562710,2024,56,2
9,0901567400,2024,56,1
9,0901573420,2024,56,1
9,0901575870,2024,56,4
9,0901586790,2024,56,5
9,0901588190,2024,56,1
11,1100100000,2024,27,337
12,1200500000,2024,27,44
12,1200700000,2024,27,13
12,1200900000,2024,27,110
12,1201300000,2024,27,7
12,1201500000,2024,27,21
12,1201700000,2024,27,37
12,1201900000,2024,27,52
12,1202100000,2024,27,78
12,1202300000,2024,23,24
12,1202700000,2024,23,16
12,1203100000,2024,27,488
12,1203300000,2024,27,80
12,1203500000,2024,27,22
12,1203900000,2024,27,29
12,1204100000,2024,23,11
12,1204300000,2024,23,9
12,1204500000,2024,27,10
12,1204700000,2024,27,9
12,1205100000,2024,27,14
12,1205500000,2024,27,28
12,1205700000,2024,27,319
12,1205900000,2024,27,9
12,1206100000,2024,27,24
12,1206300000,2024,27,15
12,1206500000,2024,23,20
12,1206700000,2024,27,6
12,1206900000,2024,27,86
12,1207100000,2024,27,289
12,1207700000,2024,27,8
12,1207900000,2024,23,20
12,1208100000,2024,27,75
12,1208300000,2024,27,115
12,1208500000,2024,27,34
12,1208600000,2024,27,589
12,1208700000,2024,23,60
12,1208900000,2024,27,20
12,1209100000,2024,27,49
12,1209300000,2024,23,15
12,1209500000,2024,27,285
12,1209700000,2024,27,75
12,1209900000,2024,27,860
12,1210100000,2024,27,131
12,1210300000,2024,27,164
12,1210500000,2024,27,145
12,1210700000,2024,23,24
12,1210900000,2024,27,49
12,1211100000,2024,23,165
12,1211300000,2024,27,25
12,1211500000,2024,27,104
12,1211700000,2024,27,90
12,1211900000,2024,27,37
12,1212300000,2024,23,15
12,1212500000,2024,38,8
12,1212500000,2024,27,8
12,1212700000,2024,27,90
12,1212900000,2024,27,14
12,1213100000,2024,27,21
12,1213300000,2024,27,12
13,1300100000,2024,19,49
13,1300700000,2024,19,12
13,1300900000,2024,19,94
13,1301100000,2024,19,50
13,1301300000,2024,19,152
13,1301500000,2024,19,275
13,1301700000,2024,19,48
13,1301900000,2024,19,43
13,1302300000,2024,19,24
13,1302500000,2024,19,38
13,1302700000,2024,19,87
13,1302900000,2024,19,136
13,1303300000,2024,19,63
13,1303500000,2024,19,30
13,1304300000,2024,19,27
13,1304500000,2024,19,336
13,1304700000,2024,19,192
13,1304900000,2024,19,27
13,1305500000,2024,19,67
13,1305900000,2024,19,352
13,1306100000,2024,19,8
13,1306500000,2024,19,16
13,1306700000,2024,19,1982
13,1306900000,2024,19,107
13,1307300000,2024,19,572
13,1307500000,2024,19,48
13,1307700000,2024,19,413
13,1307900000,2024,19,25
13,1308100000,2024,19,42
13,1308300000,2024,19,52
13,1308500000,2024,19,75
13,1308900000,2024,19,1948
13,1309100000,2024,19,60
